title,budget,revenue,imdb_rating,runtime,main_genre,roi
Four Rooms,4000000.0,4257354.0,6.7,98.0,Comedy,6.43
Judgment Night,21000000.0,12136938.0,6.6,109.0,Action,-42.21
Star Wars,11000000.0,775398007.0,8.6,121.0,Adventure,6949.07
Finding Nemo,94000000.0,940335536.0,8.2,100.0,Animation,900.36
Forrest Gump,55000000.0,677387716.0,8.8,142.0,Comedy,1131.61
American Beauty,15000000.0,356296601.0,8.3,122.0,Drama,2275.31
Citizen Kane,839727.0,23218000.0,8.3,119.0,Mystery,2664.95
Dancer in the Dark,12500000.0,40061153.0,7.9,140.0,Drama,220.49
The Fifth Element,90000000.0,263920180.0,7.6,126.0,Science Fiction,193.24
Metropolis,5300000.0,1350322.0,8.3,153.0,Drama,-74.52
My Life Without Me,2500000.0,12300000.0,7.4,106.0,Drama,392.0
Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,655011224.0,8.1,143.0,Adventure,367.87
Kill Bill: Vol. 1,30000000.0,180906076.0,8.2,111.0,Action,503.02
Jarhead,72000000.0,97076152.0,7.0,123.0,Drama,34.83
Walk on Water,1400000.0,444.0,7.3,103.0,Drama,-99.97
9 Songs,1000000.0,1574623.0,4.8,69.0,Drama,57.46
Apocalypse Now,31500000.0,150000000.0,8.4,147.0,Drama,376.19
Unforgiven,14400000.0,159157447.0,8.2,130.0,Western,1005.26
The Simpsons Movie,75000000.0,527068851.0,7.3,87.0,Animation,602.76
Eternal Sunshine of the Spotless Mind,20000000.0,72258126.0,8.3,108.0,Science Fiction,261.29
Amores Perros,2000000.0,20908467.0,8.0,154.0,Drama,945.42
Pirates of the Caribbean: Dead Man's Chest,200000000.0,1066179747.0,7.4,151.0,Adventure,433.09
A History of Violence,32000000.0,61477797.0,7.4,96.0,Drama,92.12
2001: A Space Odyssey,12000000.0,71923560.0,8.3,149.0,Science Fiction,499.36
Twelve Monkeys,29000000.0,168841459.0,8.0,129.0,Science Fiction,482.21
8 Mile,41000000.0,242875078.0,7.2,111.0,Drama,492.38
Absolute Power,50000000.0,50100000.0,6.7,121.0,Crime,0.2
Paradise Now,2000000.0,3395627.0,7.4,90.0,Crime,69.78
Brazil,15000000.0,9900000.0,7.8,143.0,Comedy,-34.0
Walk the Line,28000000.0,186800000.0,7.8,136.0,Drama,567.14
Million Dollar Baby,30000000.0,216763646.0,8.1,132.0,Drama,622.55
Billy Elliot,5000000.0,109280263.0,7.7,110.0,Drama,2085.61
American History X,20000000.0,23900000.0,8.5,119.0,Drama,19.5
War of the Worlds,132000000.0,603873119.0,6.6,117.0,Adventure,357.48
Mars Attacks!,70000000.0,101371017.0,6.4,106.0,Comedy,44.82
Before Sunrise,2500000.0,5987386.0,8.1,101.0,Drama,139.5
Memento,9000000.0,40047236.0,8.4,113.0,Mystery,344.97
Blade Runner,28000000.0,41722424.0,8.1,118.0,Science Fiction,49.01
Hero,31000000.0,177394432.0,7.9,99.0,Drama,472.24
Before Sunset,2700000.0,15992615.0,8.1,80.0,Drama,492.32
Nausicaä of the Valley of the Wind,1000000.0,9016411.0,8.0,117.0,Adventure,801.64
Miami Vice,135000000.0,163800000.0,6.1,132.0,Action,21.33
Open Water,120000.0,54683487.0,5.8,79.0,Drama,45469.57
Raiders of the Lost Ark,18000000.0,389925971.0,8.4,115.0,Adventure,2066.26
Indiana Jones and the Temple of Doom,28000000.0,333000000.0,7.5,118.0,Adventure,1089.29
Dirty Dancing,6000000.0,214577242.0,7.1,100.0,Drama,3476.29
Indiana Jones and the Last Crusade,48000000.0,474171806.0,8.2,127.0,Adventure,887.86
Beverly Hills Cop,14000000.0,316360478.0,7.4,105.0,Comedy,2159.72
Anatomy of a Murder,2000000.0,8000000.0,8.0,161.0,Crime,300.0
Armageddon,140000000.0,553799566.0,6.7,151.0,Action,295.57
Beverly Hills Cop II,28000000.0,299965036.0,6.6,103.0,Action,971.3
Tron,17000000.0,33000000.0,6.7,95.0,Science Fiction,94.12
Gladiator,103000000.0,465516248.0,8.5,155.0,Action,351.96
All About My Mother,8272296.0,67956089.0,7.8,101.0,Comedy,721.49
"Lock, Stock and Two Smoking Barrels",1350000.0,28356188.0,8.1,105.0,Comedy,2000.46
Léon: The Professional,16000000.0,45284974.0,8.5,111.0,Crime,183.03
Taxi Driver,1900000.0,28579636.0,8.2,114.0,Crime,1404.19
Run Lola Run,1530000.0,7660911.0,7.6,81.0,Action,400.71
Back to the Future,19000000.0,381109762.0,8.5,116.0,Adventure,1905.84
Predator,15000000.0,98267558.0,7.8,107.0,Science Fiction,555.12
Snatch,10000000.0,83557872.0,8.2,103.0,Crime,735.58
Scarface,25000000.0,66023329.0,8.3,170.0,Action,164.09
Italian for Beginners,1000000.0,16350876.0,7.0,118.0,Comedy,1535.09
Pretty Woman,14000000.0,463406268.0,7.1,120.0,Romance,3210.04
The Big Lebowski,15000000.0,47010480.0,8.1,117.0,Comedy,213.4
Match Point,15000000.0,85306374.0,7.6,124.0,Drama,468.71
The Untouchables,25000000.0,76270454.0,7.8,119.0,Crime,205.08
Charlie and the Chocolate Factory,150000000.0,475000000.0,6.7,115.0,Adventure,216.67
The Lord of the Rings: The Fellowship of the Ring,93000000.0,871368364.0,8.9,179.0,Adventure,836.96
The Lord of the Rings: The Two Towers,79000000.0,926287400.0,8.8,179.0,Adventure,1072.52
The Lord of the Rings: The Return of the King,94000000.0,1118888979.0,9.0,201.0,Adventure,1090.31
The Lord of the Rings,4000000.0,30500000.0,6.2,132.0,Adventure,662.5
Princess Mononoke,23500000.0,176506186.0,8.3,134.0,Adventure,651.09
Spirited Away,19000000.0,274925095.0,8.6,125.0,Animation,1346.97
"O Brother, Where Art Thou?",26000000.0,71900000.0,7.7,107.0,Adventure,176.54
Groundhog Day,14600000.0,71108778.0,8.0,101.0,Romance,387.05
Dracula,355000.0,700000.0,7.3,74.0,Horror,97.18
Bad Education,5000000.0,40266982.0,7.4,105.0,Drama,705.34
Donnie Darko,4500000.0,7500000.0,8.0,114.0,Fantasy,66.67
